iter	RMSE
0	0.7855561432
1	0.7759900363
2	0.7668489519
3	0.7582026699
4	0.7499658119
5	0.7421024202
6	0.734007657
7	0.7255126436
8	0.7172307041
9	0.7095277487
10	0.7024200702
11	0.6957503258
12	0.6897957234
13	0.6838522649
14	0.6782959786
15	0.6727083337
16	0.6666628095
17	0.6615357591
18	0.6558195201
19	0.6499113834
20	0.6440706986
21	0.638788913
22	0.633985921
23	0.628819863
24	0.6245581848
25	0.6203295466
26	0.6156236613
27	0.6107575655
28	0.60707529
29	0.6027127073
30	0.5989497765
31	0.596061779
32	0.5916621989
33	0.5877471524
34	0.5846063416
35	0.5813687017
36	0.5780246857
37	0.5754182512
38	0.5726699785
39	0.5698958026
40	0.566533609
41	0.5630729401
42	0.5605268191
43	0.5571084385
44	0.5543430601
45	0.5510686656
46	0.5479830535
47	0.5443867488
48	0.5415833929
49	0.5392433911
50	0.5371534412
51	0.5347443464
52	0.5323924626
53	0.529701397
54	0.5278391351
55	0.5256674249
56	0.5234936815
57	0.5212847819
58	0.5191304606
59	0.517424779
60	0.5148849223
61	0.5125621954
62	0.5106934069
63	0.5084965743
64	0.5063502164
65	0.5043842498
66	0.5026698814
67	0.5015323018
68	0.4995486369
69	0.4975605719
70	0.4958380707
71	0.494553491
72	0.4928787246
73	0.4908410447
74	0.489096229
75	0.4878172909
76	0.4869307144
77	0.4851258024
78	0.4838554311
79	0.4820455116
80	0.4802079115
81	0.477863862
82	0.4762070483
83	0.4745975243
84	0.4736259394
85	0.4717507236
86	0.4707860434
87	0.4691327316
88	0.4678869237
89	0.4665343669
90	0.4657930471
91	0.4643679486
92	0.4630859986
93	0.4616773252
94	0.4601599843
95	0.4584259402
96	0.4570456607
97	0.4558576736
98	0.454447404
99	0.4533487472
100	0.4515653747
101	0.4495738007
102	0.4486276573
103	0.4479629439
104	0.4467677718
105	0.445688637
106	0.4447343413
107	0.4431543628
108	0.4422459403
109	0.4414231783
110	0.4401844076
111	0.4390724769
112	0.4375165051
113	0.4365472655
114	0.4354877474
115	0.4346737553
116	0.4333255335
117	0.4314391937
118	0.4304677558
119	0.4293839375
120	0.4278530161
121	0.426596804
122	0.425687062
123	0.4247394259
124	0.4234972717
125	0.4222701128
126	0.4210134166
127	0.4197205631
128	0.418429224
129	0.4170151856
130	0.4159645983
131	0.4150072046
132	0.4149052474
133	0.4144219937
134	0.4132962069
135	0.4126732343
136	0.4115466316
137	0.4103397991
138	0.4091632014
139	0.4082551292
140	0.4076025244
141	0.4070564781
142	0.4055366352
143	0.404719589
144	0.4034104861
145	0.402357065
146	0.4004005644
147	0.3992173414
148	0.3983253212
149	0.3971827688
150	0.3963329936
151	0.3955614916
152	0.3944065272
153	0.3930205083
154	0.3915959446
155	0.3905239119
156	0.3887926325
157	0.3876114434
158	0.3866979047
159	0.3855913158
160	0.3848310459
161	0.3840084459
162	0.3831730185
163	0.3822479575
164	0.3815763469
165	0.3806326532
166	0.379456548
167	0.3786417146
168	0.3778197809
169	0.376855635
170	0.3760990725
171	0.3749639581
172	0.3741571751
173	0.3736745346
174	0.3731962211
175	0.3720573394
176	0.3709740446
177	0.370124988
178	0.3695836862
179	0.3680737169
180	0.366923841
181	0.3662960277
182	0.3656639191
183	0.3641428858
