iter	Passed	Remaining
0	50	25130
1	156	39078
2	204	33854
3	334	41503
4	440	43566
5	547	45052
6	600	42280
7	719	44237
8	758	41404
9	893	43800
10	946	42083
11	1099	44706
12	1193	44707
13	1278	44383
14	1323	42804
15	1434	43385
16	1500	42636
17	1576	42221
18	1609	40734
19	1716	41200
20	1824	41625
21	1899	41267
22	1977	41011
23	2107	41802
24	2225	42279
25	2341	42686
26	2447	42884
27	2489	41972
28	2600	42238
29	2646	41456
30	2728	41275
31	2820	41243
32	2878	40741
33	2953	40485
34	3104	41242
35	3192	41148
36	3248	40654
37	3292	40031
38	3398	40175
39	3437	39531
40	3546	39699
41	3580	39049
42	3698	39311
43	3799	39379
44	3851	38938
45	3892	38416
46	3986	38422
47	4024	37900
48	4120	37923
49	4165	37487
50	4199	36973
51	4295	37003
52	4345	36647
53	4383	36201
54	4480	36251
55	4526	35885
56	4562	35455
57	4597	35037
58	4631	34619
59	4662	34188
60	4771	34340
61	4811	33989
62	4887	33899
63	4966	33831
64	4999	33459
65	5101	33549
66	5145	33255
67	5257	33401
68	5323	33254
69	5394	33137
70	5430	32810
71	5537	32915
72	5571	32590
73	5606	32275
74	5698	32293
75	5747	32065
76	5796	31840
77	5830	31546
78	5938	31648
79	5995	31476
80	6037	31228
81	6132	31263
82	6286	31585
83	6378	31587
84	6459	31535
85	6508	31330
86	6564	31163
87	6613	30964
88	6683	30862
89	6771	30848
90	6809	30607
91	6844	30352
92	6886	30136
93	6927	29920
94	6982	29765
95	7011	29506
96	7042	29260
97	7075	29022
98	7108	28794
99	7146	28584
100	7184	28381
101	7217	28163
102	7268	28015
103	7342	27956
104	7435	27970
105	7472	27776
106	7603	27926
107	7639	27728
108	7674	27528
109	7706	27323
110	7741	27128
111	7772	26927
112	7877	26979
113	7928	26846
114	7979	26713
115	8081	26754
116	8119	26578
117	8215	26596
118	8285	26526
119	8316	26335
120	8429	26403
121	8473	26253
122	8533	26156
123	8627	26161
124	8665	25997
125	8697	25816
126	8730	25640
127	8762	25467
128	8794	25292
129	8828	25127
130	8861	24961
131	8894	24795
132	8896	24549
133	8965	24488
134	9035	24430
135	9071	24280
136	9101	24116
137	9135	23965
138	9237	23990
139	9272	23844
140	9400	23934
141	9442	23806
142	9549	23841
143	9665	23894
144	9725	23810
145	9828	23831
146	9889	23747
147	9929	23616
148	10030	23629
149	10106	23582
150	10171	23508
151	10212	23381
152	10322	23411
153	10370	23299
154	10567	23521
155	10654	23495
156	10899	23811
157	11015	23843
158	11058	23715
159	11166	23728
160	11217	23619
161	11317	23613
162	11376	23521
163	11417	23392
164	11505	23359
165	11552	23244
166	11592	23115
167	11678	23079
168	11717	22949
169	11754	22817
170	11793	22691
171	11886	22667
172	11942	22574
173	11975	22436
174	12062	22401
175	12114	22302
176	12211	22285
177	12259	22177
178	12294	22047
179	12396	22037
180	12504	22038
181	12545	21920
182	12578	21789
183	12687	21790
184	12725	21667
185	12760	21542
186	12857	21521
187	12903	21414
188	13006	21402
189	13047	21287
190	13084	21167
191	13118	21043
192	13164	20941
193	13258	20912
194	13342	20868
195	13397	20779
196	13520	20795
197	13566	20692
198	13606	20580
199	13726	20589
200	13787	20509
201	13878	20474
202	13955	20417
203	14107	20469
