iter	RMSE
0	0.7985876641
1	0.7905336926
2	0.7831388322
3	0.775854977
4	0.7689847135
5	0.7626517694
6	0.7558050183
7	0.7489896616
8	0.7434907489
9	0.7384513251
10	0.7329773888
11	0.727515137
12	0.7230681176
13	0.7175546468
14	0.7129432358
15	0.707926042
16	0.7020107294
17	0.6977759098
18	0.6934477894
19	0.6890767611
20	0.6840819693
21	0.6805119307
22	0.676558446
23	0.6719392277
24	0.668465323
25	0.6644693315
26	0.6609527742
27	0.657234727
28	0.6539052041
29	0.6509519777
30	0.6472844804
31	0.6438871447
32	0.6405039311
33	0.6374144482
34	0.6345015997
35	0.6312366116
36	0.6285806776
37	0.6257577398
38	0.6231933454
39	0.6205856851
40	0.6176364782
41	0.6151227938
42	0.6129002504
43	0.6106596863
44	0.6080421133
45	0.6052025191
46	0.6028040245
47	0.6009223411
48	0.5982808362
49	0.5958495476
50	0.5937000356
51	0.5920495406
52	0.5899807098
53	0.5877163471
54	0.5854154399
55	0.5837752171
56	0.5813817918
57	0.5799720088
58	0.5779140576
59	0.5762847129
60	0.5746674975
61	0.5726744548
62	0.5703866678
63	0.5684465526
64	0.5671441514
65	0.5656567062
66	0.563701713
67	0.5619714063
68	0.5606262104
69	0.5589246761
70	0.5573607934
71	0.5560916008
72	0.5546384473
73	0.5530315139
74	0.5516505948
75	0.5499932385
76	0.5487731414
77	0.5473818779
78	0.5460620028
79	0.5442578269
80	0.543099953
81	0.5419092975
82	0.5404758179
83	0.5390398329
84	0.5377909449
85	0.5362773231
86	0.5354225537
87	0.5342109607
88	0.5331549811
89	0.5318555542
90	0.5307935468
91	0.5296635862
92	0.5280307747
93	0.5264721892
94	0.5251712129
95	0.5244191941
96	0.5235530682
97	0.5224757469
98	0.5215833305
99	0.5198937492
100	0.5188300942
101	0.5179827847
102	0.5170719356
103	0.5159309787
104	0.5150694635
105	0.5140303283
106	0.5136750609
107	0.5120824575
108	0.5110938661
109	0.5103101173
110	0.5091638754
111	0.5083351365
112	0.5070800085
113	0.506250708
114	0.5054490073
115	0.5044486894
116	0.5039029565
117	0.503467957
118	0.5023783034
119	0.5010990844
120	0.5004190175
121	0.4998171739
122	0.4991796407
123	0.498407364
124	0.4976569145
125	0.4967748391
126	0.4962945251
127	0.4953295212
128	0.4945663657
129	0.4943364302
130	0.4934064179
131	0.4925262294
132	0.4916552637
133	0.4909904295
134	0.4907013144
135	0.4900598874
136	0.4891696752
137	0.4882933294
138	0.4871218193
139	0.4862940499
140	0.4859660403
141	0.4852513129
142	0.4849212966
143	0.484415843
144	0.4835589431
145	0.4830352109
146	0.4827519508
147	0.4820581781
148	0.4812375715
149	0.4804837025
150	0.4795083734
151	0.4785708235
152	0.4779723014
153	0.4775441019
154	0.4769708633
155	0.476241444
156	0.475479832
157	0.4747015162
158	0.4738111531
159	0.4735372075
160	0.4728697226
