iter	Passed	Remaining
0	6	3979
1	12	3746
2	17	3538
3	23	3483
4	29	3452
5	34	3420
6	39	3362
7	45	3363
8	51	3394
9	52	3099
10	57	3085
11	64	3137
12	65	2939
13	69	2901
14	74	2887
15	79	2906
16	84	2887
17	88	2854
18	94	2877
19	98	2865
20	103	2841
21	108	2845
22	113	2842
23	117	2820
24	121	2796
25	127	2821
26	132	2802
27	136	2780
28	141	2779
29	145	2767
30	149	2753
31	154	2738
32	160	2753
33	164	2730
34	168	2716
35	173	2724
36	178	2720
37	183	2706
38	187	2698
39	193	2708
40	198	2699
41	202	2687
42	208	2695
43	212	2685
44	216	2670
45	222	2677
46	226	2670
47	231	2657
48	235	2646
49	241	2656
50	245	2645
51	249	2628
52	255	2632
53	260	2628
54	264	2616
55	268	2612
56	274	2614
57	278	2601
58	282	2591
59	289	2601
60	293	2591
61	297	2585
62	304	2597
63	309	2591
64	314	2584
65	318	2580
66	323	2572
67	327	2562
68	331	2549
69	337	2554
70	342	2548
71	346	2537
72	351	2535
73	355	2527
74	359	2514
75	363	2505
76	368	2501
77	372	2491
78	376	2479
79	380	2470
80	384	2466
81	388	2455
82	392	2445
83	396	2436
84	402	2436
85	406	2427
86	409	2416
87	415	2416
88	419	2408
89	423	2398
90	427	2391
91	432	2386
92	436	2378
93	440	2369
94	444	2360
95	448	2356
96	453	2349
97	456	2339
98	460	2332
99	465	2326
100	469	2319
101	473	2311
102	477	2303
103	482	2299
104	485	2290
105	490	2284
106	493	2275
107	498	2272
108	503	2269
109	507	2261
110	512	2257
111	517	2254
112	521	2248
113	525	2240
114	531	2242
115	536	2237
116	540	2231
117	545	2226
118	549	2221
119	553	2215
120	558	2210
121	563	2209
122	568	2202
123	573	2200
124	579	2201
125	584	2198
126	588	2191
127	593	2187
128	598	2184
129	603	2180
130	607	2174
131	612	2171
132	616	2165
133	620	2157
134	621	2140
135	626	2137
136	630	2131
137	634	2123
138	638	2116
139	644	2117
140	648	2112
141	653	2106
142	658	2103
143	663	2099
144	667	2094
145	671	2087
146	677	2086
147	681	2081
148	685	2075
149	690	2071
150	695	2067
151	699	2060
152	702	2053
153	707	2049
154	712	2044
155	714	2033
156	718	2027
157	723	2022
158	728	2019
159	732	2014
160	736	2008
161	741	2005
162	745	1999
163	750	1994
164	754	1989
165	759	1986
166	764	1981
167	767	1974
168	772	1969
169	777	1965
170	779	1956
171	783	1949
172	788	1946
173	793	1941
174	797	1935
175	800	1929
176	805	1925
177	810	1921
178	814	1915
179	818	1910
180	823	1907
181	828	1901
182	832	1896
183	836	1892
184	841	1888
185	845	1882
186	849	1876
187	854	1872
188	858	1866
189	862	1860
190	866	1854
191	871	1850
192	875	1846
193	879	1841
194	884	1837
195	889	1834
196	891	1822
197	894	1816
198	899	1812
199	904	1808
200	908	1803
201	912	1798
202	918	1795
203	922	1790
204	926	1784
205	930	1778
206	935	1775
207	939	1771
208	943	1765
209	948	1762
210	953	1758
211	957	1752
212	961	1747
213	967	1744
214	971	1739
215	975	1733
216	980	1729
217	985	1726
218	990	1722
219	994	1718
220	999	1714
221	1003	1709
222	1007	1704
223	1012	1699
224	1017	1695
225	1021	1689
226	1025	1684
227	1029	1680
228	1034	1675
229	1038	1670
230	1042	1665
231	1046	1660
232	1051	1656
233	1055	1651
234	1060	1647
235	1066	1644
236	1070	1640
237	1074	1635
238	1080	1632
239	1085	1627
240	1089	1622
241	1094	1618
242	1099	1614
243	1102	1608
244	1106	1602
245	1110	1598
246	1115	1593
247	1119	1588
248	1122	1582
249	1128	1579
250	1133	1575
251	1137	1570
252	1142	1566
253	1146	1562
254	1150	1556
255	1154	1551
256	1159	1547
257	1164	1543
258	1168	1539
259	1173	1535
260	1179	1531
261	1184	1528
262	1189	1524
263	1195	1521
264	1199	1516
265	1203	1511
266	1210	1509
267	1214	1505
268	1219	1500
269	1225	1498
270	1229	1493
271	1234	1488
272	1239	1484
273	1244	1481
274	1249	1476
275	1253	1471
276	1256	1465
277	1261	1460
278	1265	1456
279	1270	1451
280	1275	1448
281	1280	1443
282	1284	1439
283	1289	1435
284	1294	1430
285	1298	1425
286	1303	1421
287	1308	1417
288	1313	1413
289	1319	1410
290	1324	1406
291	1329	1402
292	1335	1399
293	1340	1395
294	1345	1391
295	1351	1387
296	1356	1383
297	1374	1392
298	1390	1399
299	1399	1399
300	1406	1397
301	1412	1393
302	1417	1389
303	1423	1385
304	1427	1380
305	1433	1377
306	1440	1374
307	1446	1371
308	1454	1369
309	1461	1367
310	1467	1363
311	1473	1359
312	1477	1355
313	1482	1350
314	1487	1345
315	1492	1341
316	1496	1335
317	1501	1331
318	1506	1326
319	1509	1320
320	1514	1316
321	1519	1311
322	1523	1306
323	1528	1301
324	1533	1297
325	1537	1292
326	1541	1287
327	1547	1283
328	1552	1278
329	1557	1273
330	1562	1269
331	1568	1265
332	1573	1261
333	1579	1257
334	1584	1253
335	1588	1247
336	1592	1242
337	1597	1238
338	1602	1233
339	1607	1229
340	1612	1224
341	1616	1219
342	1620	1214
343	1625	1209
344	1630	1205
345	1636	1201
346	1641	1196
347	1647	1193
348	1653	1188
349	1657	1183
350	1663	1180
351	1670	1176
352	1675	1172
353	1680	1168
354	1686	1163
355	1691	1159
356	1696	1154
357	1701	1150
358	1705	1145
359	1711	1141
360	1716	1136
361	1720	1131
362	1726	1127
363	1731	1122
364	1735	1117
365	1742	1114
366	1747	1109
367	1751	1104
368	1757	1099
369	1763	1095
370	1767	1090
371	1773	1086
372	1777	1082
373	1782	1077
374	1788	1072
375	1792	1068
376	1796	1062
377	1800	1057
378	1805	1052
379	1809	1047
380	1813	1042
381	1817	1037
382	1823	1033
383	1827	1028
384	1831	1023
385	1837	1018
386	1842	1013
387	1847	1009
388	1851	1004
389	1857	999
390	1861	995
391	1866	990
392	1872	986
393	1876	981
394	1881	976
395	1885	971
396	1890	966
397	1894	961
398	1899	957
399	1904	952
400	1909	947
401	1913	942
402	1918	937
403	1922	932
404	1926	927
405	1930	922
406	1935	917
407	1940	913
408	1944	908
409	1949	903
410	1954	898
411	1959	894
412	1963	889
413	1968	884
414	1973	879
415	1977	874
416	1981	869
417	1986	864
418	1990	859
419	1994	854
420	1999	850
421	2004	845
422	2008	840
423	2013	835
424	2018	831
425	2022	826
426	2026	820
427	2030	815
428	2034	811
429	2039	806
430	2043	801
431	2048	796
432	2052	791
433	2056	786
434	2061	781
435	2066	777
436	2070	772
437	2075	767
438	2079	762
439	2083	757
440	2089	753
441	2093	748
442	2098	743
443	2103	739
444	2107	734
445	2112	729
446	2117	724
447	2122	720
448	2126	715
449	2131	710
450	2136	705
451	2139	700
452	2141	694
453	2146	690
454	2150	685
455	2154	680
456	2158	675
457	2163	670
458	2169	666
459	2173	661
460	2178	656
461	2183	652
462	2186	647
463	2190	642
464	2195	637
465	2199	632
466	2204	627
467	2208	622
468	2212	618
469	2217	613
470	2221	608
471	2226	603
472	2231	599
473	2236	594
474	2240	589
475	2245	584
476	2250	580
477	2254	575
478	2258	570
479	2264	566
480	2268	561
481	2273	556
482	2278	552
483	2283	547
484	2288	542
485	2293	537
486	2298	533
487	2303	528
488	2308	523
489	2312	519
490	2316	514
491	2320	509
492	2325	504
493	2329	499
494	2333	495
495	2337	490
496	2342	485
497	2346	480
498	2350	475
499	2355	471
500	2360	466
501	2364	461
502	2368	456
503	2374	452
504	2379	447
505	2383	442
506	2388	438
507	2393	433
508	2397	428
509	2402	423
510	2407	419
511	2411	414
512	2415	409
513	2420	405
514	2425	400
515	2429	395
516	2433	390
517	2438	386
518	2443	381
519	2448	376
520	2454	372
521	2458	367
522	2463	362
523	2468	357
524	2472	353
525	2477	348
526	2482	343
527	2486	339
528	2491	334
529	2495	329
530	2500	324
531	2504	320
532	2508	315
533	2512	310
534	2516	305
535	2521	301
536	2525	296
537	2530	291
538	2535	286
539	2539	282
540	2544	277
541	2548	272
542	2553	268
543	2557	263
544	2562	258
545	2567	253
546	2571	249
547	2576	244
548	2582	239
549	2587	235
550	2591	230
551	2595	225
552	2601	221
553	2605	216
554	2609	211
555	2613	206
556	2618	202
557	2622	197
558	2626	192
559	2631	187
560	2635	183
561	2638	178
562	2642	173
563	2648	169
564	2652	164
565	2655	159
566	2659	154
567	2664	150
568	2669	145
569	2673	140
570	2678	136
571	2683	131
572	2688	126
573	2692	121
574	2697	117
575	2702	112
576	2706	107
577	2713	103
578	2718	98
579	2722	93
580	2727	89
581	2731	84
582	2736	79
583	2739	75
584	2744	70
585	2748	65
586	2752	60
587	2756	56
588	2761	51
589	2765	46
590	2769	42
591	2773	37
592	2778	32
593	2782	28
594	2786	23
595	2790	18
596	2795	14
597	2800	9
598	2804	4
599	2809	0
